12.7594 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x112e0ca50>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=(1440, 900), stereo=False, units=u'norm', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
12.7594 	EXP 	window1: recordFrameIntervals = False
12.9257 	EXP 	window1: recordFrameIntervals = True
13.1098 	EXP 	window1: recordFrameIntervals = False
13.1297 	EXP 	Created dots = DotStim(autoLog=True, coherence=1.0, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, dir=1.0, dotLife=10, dotSize=2, element=None, fieldPos=array([ 0.,  0.]), fieldShape='circle', fieldSize=array([ 400.,  400.]), nDots=500, name='dots', noiseDots='direction', opacity=1.0, rgb=array([ 1.,  1.,  1.]), signalDots='same', speed=2, units='pix', win=Window(...))
13.1373 	EXP 	<method-wrapper '__getattribute__' of attributeSetter object at 0x10f649b10>: vertices = array([[-5.,  5.],
       [ 5.,  5.],
       [ 5., -5.],
       [-5., -5.]])
13.1389 	EXP 	Created fixation = Rect(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=-3.0, fillColor=array([ 1.,  1.,  1.]), fillColorSpace='rgb', fillRGB=array([ 1.,  1.,  1.]), interpolate=True, lineColor=array([ 1.,  1.,  1.]), lineColorSpace='rgb', lineRGB=array([ 1.,  1.,  1.]), lineWidth=1, name='fixation', opacity=1.0, ori=array(0.0), pos=array([ 0.,  0.]), size=array([ 1.,  1.]), units='pix', vertices=ndarray(...), win=Window(...))
13.1389 	WARNING 	Increasing number of minimum required reversals to the number of step sizes, (4).
13.1471 	EXP 	dots: coherence = 0.5
13.1471 	EXP 	dots: dir = 90.0
13.1471 	EXP 	fixation: autoDraw = True
13.6619 	EXP 	dots: autoDraw = True
14.3138 	DATA 	Keypress: up
14.3316 	EXP 	dots: autoDraw = False
14.3316 	EXP 	fixation: autoDraw = False
14.3316 	EXP 	dots: coherence = 0.19905358527674863
14.3316 	EXP 	dots: dir = 90.0
14.3316 	EXP 	fixation: autoDraw = True
14.8477 	EXP 	dots: autoDraw = True
15.5085 	DATA 	Keypress: up
15.5325 	EXP 	dots: autoDraw = False
15.5325 	EXP 	fixation: autoDraw = False
15.5325 	EXP 	dots: coherence = 0.079244659623055672
15.5325 	EXP 	dots: dir = -90.0
15.5325 	EXP 	fixation: autoDraw = True
16.0347 	EXP 	dots: autoDraw = True
16.7315 	DATA 	Keypress: down
16.7526 	EXP 	dots: autoDraw = False
16.7526 	EXP 	fixation: autoDraw = False
16.7526 	EXP 	dots: coherence = 0.031547867224009658
16.7526 	EXP 	dots: dir = -90.0
16.7526 	EXP 	fixation: autoDraw = True
17.2710 	EXP 	dots: autoDraw = True
17.9532 	DATA 	Keypress: up
17.9725 	EXP 	dots: autoDraw = False
17.9725 	EXP 	fixation: autoDraw = False
17.9725 	EXP 	dots: coherence = 0.049999999999999996
17.9725 	EXP 	dots: dir = 90.0
17.9725 	EXP 	fixation: autoDraw = True
18.4889 	EXP 	dots: autoDraw = True
19.2069 	DATA 	Keypress: up
19.2259 	EXP 	dots: autoDraw = False
19.2259 	EXP 	fixation: autoDraw = False
19.2259 	EXP 	dots: coherence = 0.049999999999999996
19.2259 	EXP 	dots: dir = -90.0
19.2259 	EXP 	fixation: autoDraw = True
19.7449 	EXP 	dots: autoDraw = True
20.5039 	DATA 	Keypress: up
20.5285 	EXP 	dots: autoDraw = False
20.5285 	EXP 	fixation: autoDraw = False
