9.3650 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x11384b8d0>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=(1440, 900), stereo=False, units=u'norm', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
9.3650 	EXP 	window1: recordFrameIntervals = False
9.5321 	EXP 	window1: recordFrameIntervals = True
9.7160 	EXP 	window1: recordFrameIntervals = False
9.7419 	EXP 	Created dots = DotStim(autoLog=True, coherence=1.0, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, dir=1.0, dotLife=10, dotSize=2, element=None, fieldPos=array([ 0.,  0.]), fieldShape='circle', fieldSize=array([ 400.,  400.]), nDots=500, name='dots', noiseDots='direction', opacity=1.0, rgb=array([ 1.,  1.,  1.]), signalDots='same', speed=2, units='pix', win=Window(...))
9.7519 	EXP 	<method-wrapper '__getattribute__' of attributeSetter object at 0x10f72ab10>: vertices = array([[-5.,  5.],
       [ 5.,  5.],
       [ 5., -5.],
       [-5., -5.]])
9.7535 	EXP 	Created fixation = Rect(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=-4.0, fillColor=array([ 1.,  1.,  1.]), fillColorSpace='rgb', fillRGB=array([ 1.,  1.,  1.]), interpolate=True, lineColor=array([ 1.,  1.,  1.]), lineColorSpace='rgb', lineRGB=array([ 1.,  1.,  1.]), lineWidth=1, name='fixation', opacity=1.0, ori=array(0.0), pos=array([ 0.,  0.]), size=array([ 1.,  1.]), units='pix', vertices=ndarray(...), win=Window(...))
9.7535 	WARNING 	Increasing number of minimum required reversals to the number of step sizes, (4).
9.7614 	EXP 	dots: coherence = 0.5
9.7614 	EXP 	dots: dir = 90.0
9.7614 	EXP 	fixation: autoDraw = True
10.2839 	EXP 	dots: autoDraw = True
11.2699 	EXP 	dots: autoDraw = False
16.6878 	DATA 	Keypress: right
17.0367 	DATA 	Keypress: down
17.0523 	EXP 	dots: autoDraw = False
17.0523 	EXP 	fixation: autoDraw = False
17.0523 	EXP 	dots: coherence = 1.0
17.0523 	EXP 	dots: dir = 90.0
17.0523 	EXP 	fixation: autoDraw = True
17.5700 	EXP 	dots: autoDraw = True
18.5564 	EXP 	dots: autoDraw = False
18.6418 	DATA 	Keypress: up
18.6572 	EXP 	dots: autoDraw = False
18.6572 	EXP 	fixation: autoDraw = False
18.6572 	EXP 	dots: coherence = 0.63095734448019325
18.6572 	EXP 	dots: dir = -90.0
18.6572 	EXP 	fixation: autoDraw = True
19.1750 	EXP 	dots: autoDraw = True
19.8951 	DATA 	Keypress: down
19.9099 	EXP 	dots: autoDraw = False
19.9099 	EXP 	fixation: autoDraw = False
19.9099 	EXP 	dots: coherence = 0.63095734448019325
19.9099 	EXP 	dots: dir = 90.0
19.9099 	EXP 	fixation: autoDraw = True
20.4282 	EXP 	dots: autoDraw = True
20.8779 	DATA 	Keypress: up
20.8964 	EXP 	dots: autoDraw = False
20.8964 	EXP 	fixation: autoDraw = False
20.8964 	EXP 	dots: coherence = 0.63095734448019325
20.8964 	EXP 	dots: dir = -90.0
20.8964 	EXP 	fixation: autoDraw = True
21.4142 	EXP 	dots: autoDraw = True
21.7339 	DATA 	Keypress: down
21.7483 	EXP 	dots: autoDraw = False
21.7483 	EXP 	fixation: autoDraw = False
21.7483 	EXP 	dots: coherence = 0.3981071705534972
21.7483 	EXP 	dots: dir = -90.0
21.7483 	EXP 	fixation: autoDraw = True
22.2662 	EXP 	dots: autoDraw = True
22.7099 	DATA 	Keypress: up
22.7341 	EXP 	dots: autoDraw = False
22.7341 	EXP 	fixation: autoDraw = False
22.7341 	EXP 	dots: coherence = 0.63095734448019325
22.7341 	EXP 	dots: dir = -90.0
22.7341 	EXP 	fixation: autoDraw = True
22.9892 	DATA 	Keypress: escape
