12.4380 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x112f0c8d0>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=(1440, 900), stereo=False, units=u'norm', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
12.4380 	EXP 	window1: recordFrameIntervals = False
12.6040 	EXP 	window1: recordFrameIntervals = True
12.7881 	EXP 	window1: recordFrameIntervals = False
12.8053 	EXP 	Created dots = NewRDK(autoLog=True, coherence=1.0, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, dir=1.0, dotLife=10, dotSize=2, element=None, fieldPos=array([ 0.,  0.]), fieldShape='circle', fieldSize=array([ 400.,  400.]), nDots=500, name='dots', noiseDots='direction', opacity=1.0, rgb=array([ 1.,  1.,  1.]), signalDots='same', speed=2, units='pix', win=Window(...))
12.8163 	EXP 	<method-wrapper '__getattribute__' of attributeSetter object at 0x10efb9b10>: vertices = array([[-5.,  5.],
       [ 5.,  5.],
       [ 5., -5.],
       [-5., -5.]])
12.8179 	EXP 	Created fixation = Rect(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=-4.0, fillColor=array([ 1.,  1.,  1.]), fillColorSpace='rgb', fillRGB=array([ 1.,  1.,  1.]), interpolate=True, lineColor=array([ 1.,  1.,  1.]), lineColorSpace='rgb', lineRGB=array([ 1.,  1.,  1.]), lineWidth=1, name='fixation', opacity=1.0, ori=array(0.0), pos=array([ 0.,  0.]), size=array([ 1.,  1.]), units='pix', vertices=ndarray(...), win=Window(...))
12.8179 	WARNING 	Increasing number of minimum required reversals to the number of step sizes, (4).
12.8266 	EXP 	dots: coherence = 0.5
12.8266 	EXP 	dots: dir = 90.0
12.8266 	EXP 	fixation: autoDraw = True
13.3401 	EXP 	dots: autoDraw = True
14.3253 	EXP 	dots: autoDraw = False
15.7339 	DATA 	Keypress: escape
9.3450 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x11394e8d0>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=(1440, 900), stereo=False, units=u'norm', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
9.3451 	EXP 	window1: recordFrameIntervals = False
9.5114 	EXP 	window1: recordFrameIntervals = True
9.6956 	EXP 	window1: recordFrameIntervals = False
9.7124 	EXP 	Created dots = NewRDK(autoLog=True, coherence=1.0, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, dir=1.0, dotLife=10, dotSize=2, element=None, fieldPos=array([ 0.,  0.]), fieldShape='circle', fieldSize=array([ 400.,  400.]), nDots=500, name='dots', noiseDots='direction', opacity=1.0, rgb=array([ 1.,  1.,  1.]), signalDots='same', speed=2, units='pix', win=Window(...))
9.7228 	EXP 	<method-wrapper '__getattribute__' of attributeSetter object at 0x10f74cb10>: vertices = array([[-5.,  5.],
       [ 5.,  5.],
       [ 5., -5.],
       [-5., -5.]])
9.7244 	EXP 	Created fixation = Rect(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=-4.0, fillColor=array([ 1.,  1.,  1.]), fillColorSpace='rgb', fillRGB=array([ 1.,  1.,  1.]), interpolate=True, lineColor=array([ 1.,  1.,  1.]), lineColorSpace='rgb', lineRGB=array([ 1.,  1.,  1.]), lineWidth=1, name='fixation', opacity=1.0, ori=array(0.0), pos=array([ 0.,  0.]), size=array([ 1.,  1.]), units='pix', vertices=ndarray(...), win=Window(...))
