7.7562 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x111dd08d0>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=(1440, 900), stereo=False, units=u'norm', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
7.7562 	EXP 	window1: recordFrameIntervals = False
7.9229 	EXP 	window1: recordFrameIntervals = True
8.1075 	EXP 	window1: recordFrameIntervals = False
8.1209 	EXP 	Created dots = NewRDK(autoLog=True, coherence=1.0, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, dir=1.0, dotLife=10, dotSize=2, element=None, fieldPos=array([ 0.,  0.]), fieldShape='circle', fieldSize=array([ 400.,  400.]), nDots=500, name='dots', noiseDots='direction', opacity=1.0, rgb=array([ 1.,  1.,  1.]), signalDots='same', speed=2, units='pix', win=Window(...))
8.1269 	EXP 	<method-wrapper '__getattribute__' of attributeSetter object at 0x10f1bfb10>: vertices = array([[-5.,  5.],
       [ 5.,  5.],
       [ 5., -5.],
       [-5., -5.]])
8.1284 	EXP 	Created fixation = Rect(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=-4.0, fillColor=array([ 1.,  1.,  1.]), fillColorSpace='rgb', fillRGB=array([ 1.,  1.,  1.]), interpolate=True, lineColor=array([ 1.,  1.,  1.]), lineColorSpace='rgb', lineRGB=array([ 1.,  1.,  1.]), lineWidth=1, name='fixation', opacity=1.0, ori=array(0.0), pos=array([ 0.,  0.]), size=array([ 1.,  1.]), units='pix', vertices=ndarray(...), win=Window(...))
8.1285 	WARNING 	Increasing number of minimum required reversals to the number of step sizes, (4).
8.1365 	EXP 	dots: coherence = 0.5
8.1365 	EXP 	dots: dir = -90.0
8.1365 	EXP 	fixation: autoDraw = True
8.6586 	EXP 	dots: autoDraw = True
9.6454 	EXP 	dots: autoDraw = False
11.6879 	DATA 	Keypress: down
11.6999 	EXP 	dots: autoDraw = False
11.6999 	EXP 	fixation: autoDraw = False
11.6999 	EXP 	dots: coherence = 0.19905358527674863
11.6999 	EXP 	dots: dir = -90.0
11.6999 	EXP 	fixation: autoDraw = True
12.2187 	EXP 	dots: autoDraw = True
12.9895 	DATA 	Keypress: up
13.0032 	EXP 	dots: autoDraw = False
13.0032 	EXP 	fixation: autoDraw = False
13.0032 	EXP 	dots: coherence = 0.31547867224009668
13.0032 	EXP 	dots: dir = 90.0
13.0032 	EXP 	fixation: autoDraw = True
13.5212 	EXP 	dots: autoDraw = True
14.4928 	DATA 	Keypress: up
14.5072 	EXP 	dots: autoDraw = False
14.5072 	EXP 	dots: autoDraw = False
14.5072 	EXP 	fixation: autoDraw = False
14.5072 	EXP 	dots: coherence = 0.31547867224009668
14.5072 	EXP 	dots: dir = -90.0
14.5072 	EXP 	fixation: autoDraw = True
15.0259 	EXP 	dots: autoDraw = True
15.6309 	DATA 	Keypress: down
15.6609 	EXP 	dots: autoDraw = False
15.6609 	EXP 	fixation: autoDraw = False
15.6609 	EXP 	dots: coherence = 0.31547867224009668
15.6609 	EXP 	dots: dir = -90.0
15.6609 	EXP 	fixation: autoDraw = True
16.1622 	EXP 	dots: autoDraw = True
16.7685 	DATA 	Keypress: down
16.7972 	EXP 	dots: autoDraw = False
16.7972 	EXP 	fixation: autoDraw = False
16.7972 	EXP 	dots: coherence = 0.19905358527674866
16.7972 	EXP 	dots: dir = 90.0
16.7972 	EXP 	fixation: autoDraw = True
17.2987 	EXP 	dots: autoDraw = True
17.7026 	DATA 	Keypress: up
17.7170 	EXP 	dots: autoDraw = False
17.7170 	EXP 	fixation: autoDraw = False
17.7170 	EXP 	dots: coherence = 0.19905358527674866
17.7170 	EXP 	dots: dir = -90.0
17.7170 	EXP 	fixation: autoDraw = True
18.2351 	EXP 	dots: autoDraw = True
18.5712 	DATA 	Keypress: down
18.5847 	EXP 	dots: autoDraw = False
18.5847 	EXP 	fixation: autoDraw = False
18.5847 	EXP 	dots: coherence = 0.19905358527674866
18.5847 	EXP 	dots: dir = 90.0
18.5847 	EXP 	fixation: autoDraw = True
19.1041 	EXP 	dots: autoDraw = True
19.4589 	DATA 	Keypress: up
19.4873 	EXP 	dots: autoDraw = False
19.4873 	EXP 	fixation: autoDraw = False
19.4873 	EXP 	dots: coherence = 0.12559432157547901
19.4873 	EXP 	dots: dir = -90.0
19.4873 	EXP 	fixation: autoDraw = True
19.9890 	EXP 	dots: autoDraw = True
20.3430 	DATA 	Keypress: down
20.3568 	EXP 	dots: autoDraw = False
20.3568 	EXP 	fixation: autoDraw = False
20.3568 	EXP 	dots: coherence = 0.12559432157547901
20.3568 	EXP 	dots: dir = 90.0
20.3568 	EXP 	fixation: autoDraw = True
20.6779 	DATA 	Keypress: escape
